species,regions,years,abundance
fish B,south,2011,165
fish E,south,2012,55
fish A,west,2015,110
invert A,south,2013,156
fish C,east,2012,282
invert D,east,2012,210
fish C,east,2012,260
invert C,west,2013,95
invert B,south,2014,147
invert D,east,2015,141
fish A,south,2014,151
invert D,south,2015,82
fish C,west,2012,290
invert A,west,2015,189
invert B,north,2014,106
invert C,south,2011,105
invert A,east,2011,33
fish B,east,2015,26
fish E,south,2012,223
fish B,east,2014,252
invert A,north,2012,251
fish E,south,2013,46
fish E,south,2015,58
fish D,west,2011,262
fish E,west,2012,260
invert D,north,2015,7
invert C,south,2010,205
fish B,east,2013,143
fish D,south,2013,32
invert B,north,2012,177
invert C,north,2013,223
fish B,south,2011,200
fish D,west,2012,282
fish D,west,2013,282
fish D,north,2012,233
fish C,north,2015,217
invert B,north,2010,146
invert A,south,2015,94
invert B,west,2014,297
invert B,east,2010,66
fish C,north,2011,260
fish E,south,2013,91
invert C,south,2014,295
invert A,west,2014,117
fish B,north,2011,6
fish A,east,2012,61
fish D,south,2013,157
fish B,north,2013,272
fish C,west,2014,83
fish B,north,2014,123
fish A,south,2011,196
fish B,north,2015,87
fish C,south,2014,11
invert A,west,2011,103
fish D,north,2011,6
invert A,west,2011,1
fish C,west,2014,16
fish D,north,2015,101
invert A,south,2012,116
fish A,west,2013,152
fish A,north,2014,250
invert D,south,2015,28
fish A,east,2011,130
invert C,south,2015,60
fish C,east,2010,237
fish B,south,2012,115
invert A,south,2013,258
fish C,north,2012,46
invert C,south,2012,191
fish B,west,2014,1
invert A,west,2012,210
invert B,west,2011,58
invert A,east,2011,280
invert A,north,2012,72
fish A,north,2014,55
fish A,east,2014,175
invert C,west,2012,198
fish D,south,2015,90
fish A,west,2011,237
fish C,east,2015,61
invert A,south,2013,83
invert A,north,2013,189
fish E,south,2013,127
fish B,south,2013,187
fish B,east,2015,138
fish B,east,2015,16
fish D,west,2013,246
fish D,north,2010,29
invert A,west,2011,1
fish B,west,2011,212
fish A,north,2010,46
fish A,south,2011,289
invert B,south,2010,125
invert D,south,2010,57
fish C,east,2014,174
invert C,east,2014,55
invert B,west,2010,234
invert C,south,2011,123
fish C,west,2015,2
fish B,south,2012,52
fish A,east,2015,170
fish B,west,2013,89
fish B,west,2014,57
fish A,west,2010,244
fish A,west,2011,125
invert A,east,2012,282
invert B,east,2012,215
fish D,south,2011,113
fish D,north,2015,104
fish D,south,2014,0
invert C,south,2011,180
fish E,west,2012,265
fish A,north,2013,193
fish E,south,2015,228
invert C,east,2011,99
fish A,south,2010,249
fish B,west,2014,39
fish A,west,2010,145
fish D,east,2015,161
fish E,south,2014,202
fish C,east,2011,287
fish A,south,2011,97
fish E,south,2015,280
fish C,south,2015,264
fish C,south,2014,44
fish A,north,2013,70
fish B,south,2015,127
invert A,south,2015,263
fish E,north,2014,134
fish E,west,2014,142
invert C,north,2010,141
invert D,south,2013,256
fish D,north,2013,289
fish C,north,2011,152
fish E,east,2014,123
invert B,south,2012,24
invert A,west,2015,203
fish C,west,2014,250
fish D,north,2015,199
invert D,north,2010,37
invert C,south,2014,252
fish C,south,2010,169
invert D,east,2014,120
invert A,east,2014,185
invert D,east,2011,170
fish A,north,2013,135
fish B,south,2011,178
invert A,east,2014,177
invert A,east,2013,222
fish B,east,2011,196
fish E,south,2015,64
invert C,south,2012,92
invert A,south,2014,233
invert C,south,2011,166
fish B,north,2012,185
invert C,east,2011,68
invert B,east,2012,219
invert D,south,2012,264
invert B,west,2014,191
fish E,west,2010,250
invert A,west,2010,245
invert A,north,2014,219
fish E,south,2015,297
invert A,west,2012,28
fish A,south,2011,74
invert D,south,2013,107
fish A,north,2010,213
fish A,south,2011,115
fish E,west,2012,63
invert B,west,2013,178
invert C,south,2014,30
invert D,west,2012,294
fish A,west,2015,57
fish A,south,2013,37
fish C,north,2013,75
fish E,south,2014,155
invert C,west,2010,238
fish A,south,2013,229
invert A,south,2013,68
invert A,east,2010,259
invert C,south,2012,65
invert C,south,2010,130
fish D,west,2010,99
invert C,east,2012,179
invert B,east,2014,2
fish A,south,2012,80
fish D,south,2015,238
fish D,south,2010,73
fish E,west,2010,249
invert A,west,2011,140
fish A,north,2015,197
invert B,north,2010,5
invert C,south,2011,169
fish B,south,2012,255
invert D,east,2014,172
invert D,west,2013,187
invert A,south,2010,300
fish C,south,2010,199
invert B,north,2011,275
fish D,south,2011,101
